sn|family_apgiv|genus_apgiv|genus_zh|genus_accepted|genus_accepted_name
1|Acanthaceae|Asystasia|十萬錯屬|t|""
2|Acanthaceae|Asystasiella|擬馬偕花屬|t|""
1496|Acanthaceae|Avicennia|海茄冬屬|t|""
3|Acanthaceae|Blechum|賽山藍屬|t|""
4|Acanthaceae|Codonacanthus|針刺草屬|t|""
5|Acanthaceae|Dicliptera|華九頭獅子草屬|t|""
6|Acanthaceae|Dipteracanthus|楠草屬|t|""
7|Acanthaceae|Hemigraphis|半插花屬|t|""
8|Acanthaceae|Hygrophila|水蓑衣屬|t|""
9|Acanthaceae|Hypoestes|槍刀菜屬|t|""
10|Acanthaceae|Justicia|爵床屬|t|""
11|Acanthaceae|Kudoacanthus|銀脈爵床屬|t|""
12|Acanthaceae|Lepidagathis|鱗球花屬|t|""
13|Acanthaceae|Peristrophe|九頭獅子草屬|t|""
14|Acanthaceae|Ruellia|蘆利草屬|t|""
15|Acanthaceae|Rungia|明萼草屬|t|""
16|Acanthaceae|Staurogyne|哈哼花屬|t|""
17|Acanthaceae|Strobilanthes|馬藍屬|t|""
18|Acanthaceae|Thunbergia|鄧伯花屬|t|""
19|Acoraceae|Acorus|菖蒲屬|t|""
20|Actinidiaceae|Actinidia|獼猴桃屬|t|""
21|Actinidiaceae|Saurauia|水冬瓜屬|t|""
22|Adoxaceae|Sambucus|接骨木屬|t|""
23|Adoxaceae|Viburnum|莢蒾屬|t|""
24|Aizoaceae|Aptenia|露草屬|t|""
25|Aizoaceae|Sesuvium|海馬齒屬|t|""
26|Aizoaceae|Tetragonia|番杏屬|t|""
27|Aizoaceae|Trianthema|假海馬齒屬|t|""
28|Aizoaceae|Trianthemum|假海馬齒屬|f|Trianthema
29|Akaniaceae|Bretschneidera|鐘萼木屬|t|""
30|Alismataceae|Alisma|澤瀉屬|t|""
31|Alismataceae|Caldesia|圓葉澤瀉屬|t|""
32|Alismataceae|Hydrocleys|水金英屬|t|""
33|Alismataceae|Sagittaria|慈姑屬|t|""
34|Altingiaceae|Liquidambar|楓香屬|t|""
35|Amaranthaceae|Achyranthes|牛膝屬|t|""
36|Amaranthaceae|Aerva|絹毛屬|t|""
37|Amaranthaceae|Alternanthera|蓮子草屬|t|""
38|Amaranthaceae|Amaranthus|莧屬|t|""
39|Amaranthaceae|Atriplex|濱藜屬|t|""
40|Amaranthaceae|Celosia|青葙屬|t|""
41|Amaranthaceae|Chenopodium|藜屬|t|""
42|Amaranthaceae|Cyathula|川牛膝屬|t|""
43|Amaranthaceae|Deeringia|漿果莧屬|t|""
44|Amaranthaceae|Gomphrena|千日紅屬|t|""
45|Amaranthaceae|Iresine|洋莧屬|t|""
46|Amaranthaceae|Philoxerus|安旱莧屬|t|""
47|Amaranthaceae|Pupalia|小花鉤牛膝屬|t|""
48|Amaranthaceae|Suaeda|鹼蓬屬|t|""
49|Amaryllidaceae|Allium|蔥屬|t|""
50|Amaryllidaceae|Crinum|文珠蘭屬|t|""
51|Amaryllidaceae|Lycoris|石蒜屬|t|""
52|Amaryllidaceae|Zephyranthes|蔥蓮屬|t|""
53|Anacardiaceae|Buchanania|山檨子屬|t|""
54|Anacardiaceae|Mangifera|檬果屬|t|""
55|Anacardiaceae|Pistacia|黃連木屬|t|""
56|Anacardiaceae|Rhus|漆樹屬|t|""
57|Anacardiaceae|Schinus|巴西胡椒木屬|t|""
58|Anacardiaceae|Semecarpus|大果漆屬|t|""
59|Annonaceae|Annona|番荔枝屬|t|""
60|Annonaceae|Artabotrys|鷹爪花屬|t|""
61|Annonaceae|Fissistigma|瓜馥木屬|t|""
62|Annonaceae|Goniothalamus|哥納香屬|t|""
63|Annonaceae|Polyalthia|暗羅屬|t|""
64|Apiaceae|Angelica|當歸屬|t|""
65|Apiaceae|Apium|芹屬|t|""
66|Apiaceae|Bupleurum|柴胡屬|t|""
67|Apiaceae|Centella|雷公根屬|t|""
68|Apiaceae|Chaerophyllum|細葉芹屬|t|""
69|Apiaceae|Cnidium|芎窮屬|t|""
70|Apiaceae|Conioselinum|彎柱芎屬|t|""
71|Apiaceae|Cryptotaenia|鴨兒芹屬|t|""
72|Apiaceae|Eryngium|刺芹屬|t|""
73|Apiaceae|Foeniculum|茴香屬|t|""
74|Apiaceae|Glehnia|濱防風屬|t|""
75|Apiaceae|Oenanthe|水芹菜屬|t|""
76|Apiaceae|Oreomyrrhis|山薰香屬|f|Chaerophyllum
77|Apiaceae|Osmorhiza|臭根屬|t|""
78|Apiaceae|Peucedanum|前胡屬|t|""
79|Apiaceae|Pimpinella|茴香屬|t|""
80|Apiaceae|Sanicula|山芹菜屬|t|""
81|Apiaceae|Sium|零餘子屬|t|""
82|Apiaceae|Torilis|竊衣屬|t|""
83|Apocynaceae|Adenium|沙漠玫瑰屬|t|""
84|Apocynaceae|Allamanda|黃蟬屬|t|""
85|Apocynaceae|Alstonia|雞骨常山屬|t|""
86|Apocynaceae|Alyxia|念珠藤屬|t|""
87|Apocynaceae|Anodendron|錦蘭屬|t|""
88|Apocynaceae|Asclepias|尖尾鳳屬|t|""
90|Apocynaceae|Catharanthus|長春花屬|t|""
91|Apocynaceae|Cerbera|海檬果屬|t|""
92|Apocynaceae|Cryptolepis|隱鱗藤屬|t|""
93|Apocynaceae|Cynanchum|牛皮消屬|t|""
94|Apocynaceae|Dischidia|風不動屬|t|""
95|Apocynaceae|Dregea|華他卡藤屬|t|""
96|Apocynaceae|Ecdysanthera|酸藤屬|t|""
97|Apocynaceae|Gymnema|武靴藤屬|t|""
98|Apocynaceae|Heterostemma|布朗藤屬|t|""
99|Apocynaceae|Holarrhena|止瀉木屬|t|""
100|Apocynaceae|Hoya|毬蘭屬|t|""
101|Apocynaceae|Jasminanthes|舌瓣花屬|t|""
102|Apocynaceae|Marsdenia|牛彌菜屬|t|""
103|Apocynaceae|Melodinus|山橙屬|t|""
104|Apocynaceae|Nerium|夾竹桃屬|t|""
105|Apocynaceae|Parsonsia|爬森藤屬|t|""
89|Apocynaceae|Pergularia|番瑞香屬|f|Asclepias
106|Apocynaceae|Plumeria|緬梔屬|t|""
107|Apocynaceae|Rauvolfia|蘿芙木屬|t|""
108|Apocynaceae|Tabernaemontana|馬蹄花屬|t|""
109|Apocynaceae|Telosma|夜香花屬|t|""
110|Apocynaceae|Trachelospermum|絡石屬|t|""
111|Apocynaceae|Tylophora|歐蔓屬|t|""
112|Aponogetonaceae|Aponogeton|水蕹屬|t|""
113|Aquifoliaceae|Ilex|冬青屬|t|""
114|Araceae|Alocasia|海芋屬|t|""
115|Araceae|Amorphophallus|蒟蒻屬|t|""
116|Araceae|Arisaema|天南星屬|t|""
117|Araceae|Caladium|花葉芋屬|t|""
118|Araceae|Colocasia|芋屬|t|""
119|Araceae|Dieffenbachia|花葉萬年青屬|t|""
120|Araceae|Epipremnum|拎樹藤屬|t|""
121|Araceae|Homalomena|扁葉芋屬|t|""
122|Araceae|Lasia|刺芋屬|t|""
123|Araceae|Lemna|青萍屬|t|""
124|Araceae|Monstera|龜背竹屬|t|""
125|Araceae|Philodendron|喜林芋屬|t|""
126|Araceae|Pinellia|半夏屬|t|""
127|Araceae|Pistia|大薸屬|t|""
128|Araceae|Pothoidium|假柚葉藤屬|t|""
129|Araceae|Pothos|柚葉藤屬|t|""
130|Araceae|Remusatia|目賊芋屬|t|""
131|Araceae|Rhaphidophora|利牟芋屬|t|""
132|Araceae|Schismatoglottis|落檐屬|t|""
133|Araceae|Spirodela|浮萍屬|t|""
134|Araceae|Syngonium|合果芋屬|t|""
135|Araceae|Typhonium|土半夏屬|t|""
136|Araceae|Wolffia|無根萍屬|t|""
137|Araceae|Xanthosoma|千年芋屬|t|""
138|Araliaceae|Aralia|刺楤屬|t|""
139|Araliaceae|Dendropanax|樹參屬|t|""
140|Araliaceae|Eleutherococcus|五函屬|t|""
141|Araliaceae|Fatsia|八角金盤屬|t|""
142|Araliaceae|Hedera|常春藤屬|t|""
143|Araliaceae|Hydrocotyle|天胡荽屬|t|""
144|Araliaceae|Osmoxylon|蘭嶼八角金盤屬|t|""
145|Araliaceae|Pentapanax|五葉參屬|t|""
146|Araliaceae|Schefflera|鵝掌柴屬|t|""
147|Araliaceae|Sinopanax|華參屬|t|""
148|Araliaceae|Tetrapanax|通脫木屬|t|""
149|Arecaceae|Areca|檳榔屬|t|""
150|Arecaceae|Arenga|山棕屬|t|""
151|Arecaceae|Calamus|省藤屬|t|""
152|Arecaceae|Chrysalidocarpus|散尾葵屬|t|""
153|Arecaceae|Cocos|椰子屬|t|""
154|Arecaceae|Livistona|蒲葵屬|t|""
155|Arecaceae|Phoenix|海棗屬|t|""
156|Arecaceae|Pinanga|山檳榔屬|t|""
157|Arecaceae|Rhapis|棕竹屬|t|""
158|Aristolochiaceae|Aristolochia|馬兜鈴屬|t|""
159|Aristolochiaceae|Asarum|細辛屬|t|""
160|Asparagaceae|Agave|龍舌蘭屬|t|""
161|Asparagaceae|Asparagus|天門冬屬|t|""
162|Asparagaceae|Aspidistra|蜘蛛抱蛋屬|t|""
163|Asparagaceae|Campylandra|萬年青屬|t|""
164|Asparagaceae|Cordyline|朱蕉屬|t|""
165|Asparagaceae|Disporopsis|假寶鐸花屬|t|""
166|Asparagaceae|Dracaena|龍血樹屬|t|""
168|Asparagaceae|Furcraea|萬年麻屬|t|""
167|Asparagaceae|Furcraea|萬年麻屬|f|Agave
169|Asparagaceae|Heteropolygonatum|異黃精屬|t|""
1493|Asparagaceae|Liriope|麥門冬屬|t|""
170|Asparagaceae|Maianthemum|舞鶴草屬|t|""
171|Asparagaceae|Nolina|酒瓶蘭屬|t|""
172|Asparagaceae|Ophiopogon|沿階草屬|t|""
173|Asparagaceae|Peliosanthes|球子草屬|t|""
174|Asparagaceae|Polygonatum|黃精屬|t|""
840|Asparagaceae|Rohdea|萬年青屬|t|""
175|Asparagaceae|Sansevieria|虎尾蘭屬|t|""
176|Asparagaceae|Scilla|綿棗兒屬|t|""
177|Asparagaceae|Smilacina|鹿藥屬|f|Maianthemum
178|Asparagaceae|Thysanotus|異蕊草屬|t|""
179|Asparagaceae|Yucca|王蘭屬|t|""
180|Asphodelaceae|Aloe|蘆薈屬|t|""
181|Asphodelaceae|Dianella|桔梗蘭屬|t|""
182|Asphodelaceae|Hemerocallis|萱草屬|t|""
183|Asteraceae|Acmella|金鈕扣屬|t|""
184|Asteraceae|Adenostemma|下田菊屬|t|""
185|Asteraceae|Ageratina|假藿香薊屬|t|""
186|Asteraceae|Ageratum|藿香薊屬|t|""
187|Asteraceae|Ainsliaea|鬼督郵屬|t|""
188|Asteraceae|Ambrosia|豬草屬|t|""
189|Asteraceae|Anaphalis|籟簫屬|t|""
190|Asteraceae|Artemisia|蒿屬|t|""
191|Asteraceae|Aster|紫菀屬|t|""
192|Asteraceae|Austroeupatorium|假澤蘭屬|t|""
193|Asteraceae|Bellis|雛菊屬|t|""
194|Asteraceae|Bidens|鬼針屬|t|""
195|Asteraceae|Blumea|艾納香屬|t|""
196|Asteraceae|Calyptocarpus|金腰箭舅屬|t|""
197|Asteraceae|Carpesium|天名精屬|t|""
198|Asteraceae|Carthamus|紅花屬|t|""
199|Asteraceae|Centipeda|石胡荽屬|t|""
200|Asteraceae|Centratherum|鈕扣花屬|t|""
201|Asteraceae|Chromolaena|香澤蘭屬|t|""
202|Asteraceae|Chrysanthemum|筒蒿屬|t|""
203|Asteraceae|Cichorium|菊苣屬|t|""
204|Asteraceae|Cirsium|薊屬|t|""
205|Asteraceae|Clibadium|蘇利南野菊屬|t|""
206|Asteraceae|Conyza|假蓬屬|t|""
207|Asteraceae|Coreopsis|金雞菊屬|t|""
208|Asteraceae|Cosmos|秋英屬|t|""
209|Asteraceae|Cotula|山莞荽屬|t|""
210|Asteraceae|Crassocephalum|昭和草屬|t|""
211|Asteraceae|Crepidiastrum|假黃鵪菜屬|t|""
212|Asteraceae|Crossostephium|蘄艾屬|t|""
213|Asteraceae|Dendranthema|菊屬|t|""
214|Asteraceae|Dichrocephala|魚眼草屬|t|""
215|Asteraceae|Echinops|漏盧屬|t|""
216|Asteraceae|Eclipta|鱧腸屬|t|""
217|Asteraceae|Elephantopus|地膽草屬|t|""
218|Asteraceae|Eleutheranthera|離葯金腰箭屬|t|""
219|Asteraceae|Emilia|紫背草屬|t|""
220|Asteraceae|Epaltes|鵝不食草屬|t|""
221|Asteraceae|Erechtites|饑荒草屬|t|""
222|Asteraceae|Erigeron|飛蓬屬|t|""
223|Asteraceae|Ethulia|都麗菊屬|t|""
224|Asteraceae|Eupatorium|澤蘭屬|t|""
225|Asteraceae|Farfugium|山菊屬|t|""
226|Asteraceae|Flaveria|黃頂菊屬|t|""
227|Asteraceae|Gaillardia|天人菊屬|t|""
228|Asteraceae|Galinsoga|小米菊屬|t|""
229|Asteraceae|Gerbera|大丁草屬|t|""
230|Asteraceae|Glossocardia|香茹屬|t|""
231|Asteraceae|Gnaphalium|鼠麴草屬|t|""
232|Asteraceae|Grangea|線球菊屬|t|""
233|Asteraceae|Guizotia|小油菊屬|t|""
234|Asteraceae|Gymnocoronis|光冠水菊屬|t|""
235|Asteraceae|Gynura|三七草屬|t|""
236|Asteraceae|Helianthus|向日葵屬|t|""
238|Asteraceae|Hemistepta|泥胡菜屬|f|Hemisteptia
237|Asteraceae|Hemisteptia|泥胡菜屬|t|""
239|Asteraceae|Heteropappus|狗娃花屬|t|""
240|Asteraceae|Hieracium|山柳菊屬|t|""
241|Asteraceae|Hypochaeris|貓兒菊屬|t|""
242|Asteraceae|Ixeridium|小苦蕒屬|t|""
243|Asteraceae|Ixeris|苦蕒菜屬|t|""
244|Asteraceae|Lactuca|萵苣屬|t|""
245|Asteraceae|Lagenophora|瓶頭草屬|t|""
246|Asteraceae|Laggera|六角草屬|t|""
247|Asteraceae|Lapsanastrum|稻搓菜屬|t|""
248|Asteraceae|Leontopodium|薄雪草屬|t|""
249|Asteraceae|Leucanthemum|濱菊屬|t|""
250|Asteraceae|Ligularia|橐吾屬|t|""
251|Asteraceae|Matricaria|野菊屬|t|""
252|Asteraceae|Microglossa|小舌菊屬|t|""
253|Asteraceae|Mikania|蔓澤蘭屬|t|""
254|Asteraceae|Myriactis|矮菊屬|t|""
255|Asteraceae|Nemosenecio|羽葉千里光屬|t|""
256|Asteraceae|Notoseris|紫菊屬|t|""
257|Asteraceae|Paraixeris|黃瓜菜屬|t|""
258|Asteraceae|Paraprenanthes|假福王草屬|t|""
259|Asteraceae|Parasenecio|蟹甲草屬|t|""
260|Asteraceae|Parthenium|銀膞菊屬|t|""
261|Asteraceae|Pertya|高野帚屬|t|""
262|Asteraceae|Petasites|款冬屬|t|""
263|Asteraceae|Picris|毛蓮菜屬|t|""
264|Asteraceae|Pluchea|闊苞菊屬|t|""
265|Asteraceae|Praxelis|貓腥草屬|t|""
266|Asteraceae|Pseudelephantopus|假地膽草屬|t|""
267|Asteraceae|Pseudoconyza|假蓬舅屬|t|""
268|Asteraceae|Pterocypsela|翅果菊屬|t|""
269|Asteraceae|Rhynchospermum|秋分草屬|t|""
270|Asteraceae|Saussurea|青木香屬|t|""
271|Asteraceae|Senecio|黃菀屬|t|""
272|Asteraceae|Sigesbeckia|豨薟屬|t|""
273|Asteraceae|Solidago|一枝黃花屬|t|""
274|Asteraceae|Soliva|假吐金菊屬|t|""
275|Asteraceae|Sonchus|苦苣菜屬|t|""
276|Asteraceae|Sphaeranthus|戴星草屬|t|""
277|Asteraceae|Synedrella|金腰箭屬|t|""
278|Asteraceae|Syneilesis|破傘菊屬|t|""
279|Asteraceae|Tagetes|孔雀草屬|t|""
280|Asteraceae|Taraxacum|蒲公英屬|t|""
281|Asteraceae|Tephroseris|狗舌草屬|t|""
282|Asteraceae|Tithonia|腫柄菊屬|t|""
283|Asteraceae|Tridax|長柄菊屬|t|""
284|Asteraceae|Vernonia|斑鳩菊屬|t|""
285|Asteraceae|Wedelia|蟛蜞菊屬|t|""
286|Asteraceae|Xanthium|蒼耳屬|t|""
287|Asteraceae|Youngia|黃鵪菜屬|t|""
288|Asteraceae|Zinnia|百日菊屬|t|""
289|Balanophoraceae|Balanophora|蛇菰屬|t|""
290|Balsaminaceae|Impatiens|鳳仙花屬|t|""
291|Basellaceae|Anredera|落葵薯屬|t|""
292|Basellaceae|Basella|落葵屬|t|""
293|Begoniaceae|Begonia|秋海棠屬|t|""
294|Berberidaceae|Berberis|小檗屬|t|""
295|Berberidaceae|Dysosma|八角蓮屬|t|""
296|Berberidaceae|Mahonia|十大功勞屬|t|""
297|Betulaceae|Alnus|赤楊屬|t|""
298|Betulaceae|Carpinus|千金榆屬|t|""
299|Betulaceae|Corylus|榛屬|t|""
300|Bignoniaceae|Radermachera|山菜豆屬|t|""
301|Bignoniaceae|Radermachia|山菜豆屬|f|Radermachera
302|Bignoniaceae|Spathodea|火焰樹屬|t|""
303|Bignoniaceae|Tecoma|黃鐘花屬|t|""
304|Boraginaceae|Bothriospermum|細纍子草屬|t|""
305|Boraginaceae|Cynoglossum|琉璃草屬|t|""
306|Boraginaceae|Lithospermum|紫草屬|t|""
307|Boraginaceae|Myosotis|勿忘草屬|t|""
308|Boraginaceae|Symphytum|聚合草屬|t|""
309|Boraginaceae|Thyrocarpus|盾果草屬|t|""
310|Boraginaceae|Trichodesma|碧果草屬|t|""
311|Boraginaceae|Trigonotis|附地草屬|t|""
312|Brassicaceae|Arabis|筷子芥屬|t|""
313|Brassicaceae|Barbarea|山芥屬|t|""
314|Brassicaceae|Brassica|蕓苔屬|t|""
315|Brassicaceae|Capsella|薺屬|t|""
316|Brassicaceae|Cardamine|碎米薺屬|t|""
317|Brassicaceae|Cochlearia|西洋山萮菜|t|""
318|Brassicaceae|Coronopus|濱芥屬|t|""
319|Brassicaceae|Draba|山薺屬|t|""
320|Brassicaceae|Eutrema|山葵屬|t|""
321|Brassicaceae|Lepidium|獨行菜屬|t|""
322|Brassicaceae|Nasturtium|豆瓣菜屬|t|""
323|Brassicaceae|Neslia|球果薺屬|t|""
324|Brassicaceae|Raphanus|萊服屬|t|""
325|Brassicaceae|Rapistrum|皺果薺屬|t|""
326|Brassicaceae|Rorippa|葶藶屬|t|""
327|Brassicaceae|Sisymbrium|抪娘蒿屬|t|""
328|Brassicaceae|Thlaspi|菥蓂屬|t|""
329|Brassicaceae|Wasabia|山葵屬|t|""
330|Bromeliaceae|Ananas|鳳梨屬|t|""
331|Burmanniaceae|Burmannia|水玉簪屬|t|""
332|Burmanniaceae|Gymnosiphon|小水玉簪屬|t|""
333|Burmanniaceae|Thismia|水玉杯屬|t|""
334|Buxaceae|Buxus|黃楊屬|t|""
335|Buxaceae|Pachysandra|三角咪屬|t|""
336|Buxaceae|Sarcococca|野扇花屬|t|""
337|Cabombaceae|Brasenia|蓴屬|t|""
338|Cabombaceae|Cabomba|穗蓴屬|t|""
339|Cactaceae|Cereus|六角柱屬|t|""
340|Cactaceae|Epiphyllum|曇花屬|t|""
341|Cactaceae|Hylocereus|量天尺屬|t|""
342|Cactaceae|Opuntia|仙人掌屬|t|""
343|Cactaceae|Selenicereus|蛇鞭柱屬|t|""
344|Calophyllaceae|Calophyllum|胡桐屬|t|""
345|Campanulaceae|Adenophora|沙參屬|t|""
346|Campanulaceae|Campanula|桔梗屬|t|""
347|Campanulaceae|Codonopsis|山奶草屬|t|""
348|Campanulaceae|Cyclocodon|土黨參屬|t|""
349|Campanulaceae|Hippobroma|馬醉草屬|t|""
350|Campanulaceae|Lobelia|山梗菜屬|t|""
351|Campanulaceae|Peracarpa|山桔梗屬|t|""
352|Campanulaceae|Triodanis|異檐花屬|t|""
353|Campanulaceae|Wahlenbergia|蘭花參屬|t|""
354|Cannabaceae|Aphananthe|糙葉樹屬|t|""
355|Cannabaceae|Celtis|朴屬|t|""
356|Cannabaceae|Humulus|葎草屬|t|""
357|Cannabaceae|Trema|山黃麻屬|t|""
358|Cannaceae|Canna|美人蕉屬|t|""
359|Capparaceae|Capparis|山柑屬|t|""
360|Capparaceae|Crateva|魚木屬|t|""
361|Caprifoliaceae|Abelia|六道木屬|f|Linnaea
362|Caprifoliaceae|Linnaea|北極花屬|t|""
363|Caprifoliaceae|Lonicera|忍冬屬|t|""
364|Caprifoliaceae|Patrinia|敗醬屬|t|""
365|Caprifoliaceae|Scabiosa|山蘿蔔屬|t|""
366|Caprifoliaceae|Triplostegia|雙參屬|t|""
367|Caprifoliaceae|Valeriana|纈草屬|t|""
368|Cardiopteridaceae|Gonocaryum|瓊欖屬|t|""
369|Caricaceae|Carica|番木瓜屬|t|""
370|Caryophyllaceae|Arenaria|無心菜屬|t|""
371|Caryophyllaceae|Cerastium|卷耳屬|t|""
